Bi2201Gd041029nonannealed 	Bi2201Eu050201annealed 	Temperature 
3.147498 	0.081297 	42.777192 
3.144880 	0.080969 	42.995061 
3.142499 	0.080881 	43.212632 
3.139981 	0.081501 	43.428976 
3.137943 	0.080966 	43.644116 
3.135714 	0.081251 	43.858939 
3.133542 	0.081803 	44.072120 
3.131244 	0.081941 	44.285340 
3.128871 	0.081352 	44.497247 
3.126488 	0.081469 	44.708273 
3.124633 	0.083484 	44.918311 
3.122170 	0.083625 	45.128212 
3.120185 	0.081476 	45.336932 
3.118316 	0.082386 	45.544615 
3.116035 	0.083008 	45.752241 
3.113734 	0.082756 	45.958859 
3.111353 	0.082752 	46.164513 
3.109491 	0.082134 	46.369752 
3.107670 	0.082007 	46.574192 
3.105714 	0.081917 	46.778532 
3.103739 	0.081826 	46.981395 
3.101732 	0.081478 	47.183674 
3.099635 	0.081980 	47.385722 
3.097466 	0.081826 	47.586766 
3.095919 	0.082465 	47.787631 
3.093215 	0.084546 	47.987654 
3.090609 	0.085327 	48.220464 
3.088487 	0.085741 	48.452299 
3.085727 	0.085208 	48.683042 
3.083764 	0.082838 	48.913547 
3.081833 	0.083373 	49.142647 
3.079611 	0.085885 	49.371501 
3.077435 	0.085835 	49.599397 
3.075298 	0.083949 	49.826334 
3.070676 	0.080629 	50.343582 
3.065591 	0.081581 	50.855996 
3.061058 	0.082312 	51.365538 
3.057180 	0.083827 	51.871178 
3.053296 	0.081590 	52.372574 
3.048448 	0.080125 	52.902453 
3.043349 	0.082126 	53.428400 
3.038771 	0.084033 	53.950653 
3.034255 	0.092073 	54.469576 
3.030601 	0.086368 	54.985042 
3.026095 	0.085116 	55.497082 
3.022149 	0.083674 	56.005916 
3.018314 	0.081255 	56.511133 
3.014253 	0.080328 	57.013751 
3.009781 	0.082412 	57.543168 
3.003904 	0.084221 	58.069014 
2.999782 	0.082351 	58.591671 
2.996475 	0.083342 	59.111649 
2.992688 	0.082145 	59.628736 
2.989148 	0.083993 	60.142872 
2.985465 	0.081071 	60.654059 
2.982071 	0.084094 	61.163384 
2.977079 	0.084859 	61.669448 
2.973459 	0.086035 	62.173563 
2.970203 	0.085149 	62.676009 
2.966321 	0.087528 	63.204064 
2.962223 	0.086564 	63.729322 
2.959298 	0.085286 	64.252073 
2.955753 	0.086498 	64.773499 
2.952653 	0.084382 	65.291557 
2.949754 	0.086222 	65.808196 
2.946281 	0.085912 	66.322227 
2.943180 	0.085889 	66.834866 
2.940593 	0.086741 	67.345082 
2.937988 	0.086568 	67.852954 
2.935067 	0.087268 	68.359181 
2.932180 	0.088930 	68.863772 
2.929927 	0.091546 	69.365897 
2.927341 	0.089348 	69.866480 
2.924572 	0.089408 	70.391440 
2.921788 	0.088738 	70.913895 
2.918963 	0.087762 	71.435388 
2.915942 	0.089080 	71.954062 
2.912883 	0.089143 	72.471052 
2.909622 	0.090229 	72.986849 
2.906244 	0.090552 	73.499820 
2.903849 	0.091737 	74.011405 
2.901514 	0.091126 	74.521854 
2.898552 	0.092032 	75.029861 
2.895925 	0.092059 	75.536323 
2.893681 	0.092683 	76.041658 
2.891198 	0.093674 	76.545043 
2.888141 	0.090939 	77.046615 
2.885760 	0.092698 	77.547387 
2.883690 	0.092579 	78.071363 
2.881673 	0.095859 	78.593457 
2.879678 	0.099038 	79.113867 
2.877367 	0.096878 	79.633159 
2.874645 	0.095900 	80.150589 
2.872598 	0.097552 	80.666761 
2.870272 	0.098440 	81.181591 
2.869054 	0.100758 	81.694454 
2.866696 	0.099586 	82.206131 
2.864850 	0.099747 	82.716175 
2.862707 	0.102940 	83.225437 
2.860717 	0.099458 	83.733481 
2.857894 	0.099600 	84.238805 
2.855763 	0.101712 	84.743570 
2.853513 	0.101517 	85.247454 
2.852093 	0.099193 	85.748724 
2.849985 	0.099415 	86.249431 
2.846761 	0.100305 	86.772005 
2.845017 	0.101975 	87.293282 
2.842753 	0.101785 	87.812178 
2.841158 	0.101525 	88.330746 
2.839194 	0.102886 	88.847328 
2.837412 	0.100225 	89.362678 
2.834921 	0.102750 	89.876558 
2.833249 	0.102523 	90.388138 
2.832112 	0.103208 	90.899848 
2.832505 	0.100547 	91.408848 
2.830952 	0.105832 	91.916676 
2.829446 	0.105494 	92.423344 
2.827620 	0.106303 	92.928989 
2.826122 	0.104792 	93.433223 
2.824924 	0.105671 	93.935349 
2.822990 	0.106751 	94.436215 
2.821638 	0.107474 	94.936784 
2.820774 	0.107657 	95.458254 
2.819107 	0.108081 	95.978207 
2.817372 	0.107359 	96.498430 
2.816263 	0.109267 	97.016463 
2.815434 	0.108343 	97.534259 
2.813919 	0.108735 	98.051048 
2.814149 	0.109081 	98.566516 
2.812604 	0.106836 	99.081206 
2.811622 	0.108529 	99.595832 
2.808343 	0.107151 	100.247468 
2.806959 	0.110574 	100.758475 
2.806451 	0.106669 	101.267545 
2.805463 	0.111624 	101.775507 
2.805741 	0.108612 	102.282828 
2.804643 	0.110506 	102.788695 
2.803729 	0.110220 	103.293148 
