Resistance [\fW\n]	Temperature [K]
0.111277	107.374
0.112295	107.888
0.116332	108.403
0.114857	108.916
0.117093	109.427
0.119011	109.938
0.118828	110.447
0.118096	110.955
0.119618	111.462
0.118724	111.967
0.122672	112.471
0.121155	112.974
0.121041	113.476
0.121746	113.977
0.124559	114.497
0.123804	115.016
0.123553	115.533
0.120828	116.049
0.121787	116.565
0.12635	117.078
0.126078	117.591
0.127777	118.108
0.128598	118.612
0.128826	119.121
0.125801	119.628
0.125102	120.135
0.124502	120.64
0.126084	121.144
0.126211	121.646
0.123607	122.147
0.124478	122.648
0.125932	123.166
0.123126	123.684
0.123593	124.2
0.126338	124.715
0.123601	125.229
0.124402	125.74
0.123291	126.252
0.123315	126.762
0.124437	127.271
0.125079	127.779
0.125287	128.285
0.123066	128.789
0.126253	129.293
0.125569	129.795
0.124768	130.296
0.122638	130.796
0.122573	131.314
0.117487	131.83
0.118275	132.346
0.11781	132.859
0.117662	133.372
0.116071	133.884
0.114368	134.393
0.113811	134.902
0.114555	135.411
0.114613	135.915
0.114472	136.421
0.112687	136.924
0.11349	137.425
0.113161	137.926
0.113654	138.444
0.118846	138.96
0.118498	139.474
0.117678	139.988
0.11692	140.5
0.117946	141.011
0.117071	141.52
0.119456	142.027
0.120103	142.534
0.12123	143.038
0.120666	143.542
0.117676	144.043
0.119008	144.544
0.120214	145.061
0.120094	145.576
0.121593	146.09
0.121449	146.602
0.118188	147.113
0.118603	147.621
0.11714	148.129
0.118224	148.635
0.118998	149.14
0.116315	149.643
0.116255	150.145
0.117077	150.645
0.115659	151.16
0.115192	151.674
0.116595	152.192
0.116457	152.698
0.117231	153.208
0.116721	153.715
0.116117	154.221
0.115858	154.726
0.114961	155.229
0.114903	155.73
0.115928	156.23
0.115345	156.745
0.11425	157.258
0.115686	157.769
0.114825	158.279
0.115699	158.787
0.115822	159.293
0.116076	159.799
0.116963	160.302
0.115535	160.803
0.114231	161.303
0.114561	161.817
0.113458	162.329
0.112935	162.841
0.112044	163.35
0.111841	163.857
0.109777	164.362
0.109829	164.866
0.110068	165.368
0.110272	165.869
0.110628	166.383
0.112996	166.895
0.114916	167.406
0.115546	167.915
0.116522	168.422
0.11559	168.927
0.116377	169.431
0.119548	169.932
0.120398	170.447
0.121125	170.96
0.122673	171.47
0.121375	171.98
0.122309	172.487
0.122111	172.992
0.123464	173.496
0.122288	173.998
0.122386	174.512
0.120273	175.024
0.121933	175.535
0.121368	176.044
0.120364	176.55
0.120519	177.055
0.120874	177.558
0.122857	178.059
0.121411	178.572
0.122048	179.083
0.12143	179.592
0.121854	180.099
0.122156	180.604
0.121692	181.107
0.122121	181.608
0.121408	182.121
0.122184	182.631
0.123536	183.14
0.122956	183.646
0.122346	184.151
0.121233	184.653
0.120736	185.153
0.121519	185.665
0.12127	186.174
0.121227	186.681
0.122152	187.187
0.120953	187.69
0.119753	188.191
0.121347	188.703
0.120528	189.212
0.122573	189.722
0.124887	190.225
0.124523	190.727
0.123801	191.228
0.125323	191.74
0.126971	192.249
0.12907	192.755
0.127138	193.26
0.128803	193.762
0.127297	194.274
0.129878	194.784
0.130727	195.291
0.129487	195.796
0.13188	196.299
0.13276	196.799
0.13331	197.31
0.13342	197.818
0.134385	198.323
0.134824	198.826
0.136582	199.327
0.136299	199.837
0.139254	200.344
0.137133	200.849
0.137314	201.351
0.135923	201.863
0.136474	202.372
0.137567	202.878
0.138203	203.381
0.137915	203.883
0.137934	204.393
0.137414	204.9
0.1357	205.405
0.134701	205.907
0.136338	206.418
0.134373	206.925
0.132489	207.43
0.132637	207.933
0.130161	208.443
0.130602	208.951
0.130982	209.456
0.131628	209.958
0.132589	210.468
0.130315	210.975
0.130352	211.479
0.129632	211.981
0.127926	212.489
0.128199	212.996
0.127765	213.498
0.12808	213.999
0.127111	214.506
0.126698	215.01
0.124275	215.511
0.124879	216.02
0.124796	216.525
0.123857	217.027
0.123262	217.536
0.123634	218.042
0.12388	218.544
0.122456	219.053
0.12185	219.559
0.121722	220.062
0.121334	220.57
0.122063	221.076
0.123226	221.578
0.121564	222.086
0.119827	222.591
0.118878	223.092
0.118371	223.6
0.118383	224.104
0.118993	224.604
0.117368	225.11
0.117573	225.612
0.118168	226.12
0.118289	226.623
0.114131	227.124
0.114557	227.629
0.114391	228.131
0.116111	228.638
0.115315	229.141
0.114455	229.649
0.115558	230.153
0.115009	230.661
0.114085	231.165
0.113188	231.666
0.113181	232.171
0.112935	232.671
0.113192	233.176
0.1122	233.677
0.11267	234.182
0.113264	234.682
0.114243	235.187
0.115139	235.687
0.113725	236.191
0.115682	236.697
0.11525	237.2
0.115957	237.706
0.11802	238.208
0.117569	238.712
0.117405	239.212
0.119019	239.715
0.120627	240.221
0.119829	240.722
0.122485	241.225
0.124408	241.731
0.124	242.232
0.123688	242.735
0.124188	243.239
0.124887	243.74
0.125012	244.242
0.12435	244.746
0.124434	245.251
0.125066	245.752
0.125767	246.253
0.125681	246.756
0.125846	247.26
0.126562	247.765
0.127236	248.27
0.127284	248.771
0.126281	249.272
0.126993	249.773
0.127514	250.275
0.127386	250.777
0.126826	251.278
0.126883	251.78
0.127225	252.282
0.127634	252.784
0.127729	253.285
0.126898	253.786
0.127168	254.286
0.126603	254.79
0.126591	255.294
0.125113	255.796
0.126005	256.296
0.125186	256.801
0.123967	257.304
0.125474	257.805
0.124524	258.309
0.12383	258.811
0.124604	259.315
0.123716	259.817
0.122945	260.321
0.123298	260.823
0.12285	261.325
0.12241	261.829
0.122057	262.33
0.121576	262.832
0.121477	263.334
0.12166	263.837
0.121408	264.339
0.121828	264.842
0.121728	265.344
0.122257	265.846
0.122336	266.347
0.122832	266.847
0.123527	267.35
0.123136	267.851
0.123734	268.354
