ch1+ 	 ch1- 	ch2+ 	 ch2- 	ch5+ 	 Temperature 
+3.44354881E-04 	 -3.40385163E-04 	-9.71513791E-08 	 -1.39384476E-07 	+1.31583884E+00 	 14.119416 
+3.45266385E-04 	 -3.41293446E-04 	-1.19273507E-07 	 -1.65428245E-07 	+1.31157617E+00 	 14.330662 
+3.46193261E-04 	 -3.42167126E-04 	-1.12435811E-07 	 -1.33854020E-07 	+1.30725411E+00 	 14.548671 
+3.47042958E-04 	 -3.42938288E-04 	-7.07056084E-08 	 -1.22189741E-07 	+1.30286122E+00 	 14.773819 
+3.47790815E-04 	 -3.43704240E-04 	-9.93636231E-08 	 -9.83580733E-08 	+1.29839099E+00 	 15.006156 
+3.48474548E-04 	 -3.44403361E-04 	-1.39988177E-07 	 -1.50546440E-07 	+1.29383917E+00 	 15.245576 
+3.49183502E-04 	 -3.45027442E-04 	-1.65327784E-07 	 -2.00522018E-07 	+1.28920644E+00 	 15.491715 
+3.49671562E-04 	 -3.45576536E-04 	-2.05248129E-07 	 -2.39537375E-07 	+1.28544582E+00 	 15.693076 
+3.50227225E-04 	 -3.46070857E-04 	-1.95494135E-07 	 -2.21738990E-07 	+1.28162981E+00 	 15.898665 
+3.50737427E-04 	 -3.46643402E-04 	-1.95192565E-07 	 -2.19929088E-07 	+1.27776621E+00 	 16.108033 
+3.51234730E-04 	 -3.47196408E-04 	-2.28476069E-07 	 -2.60050437E-07 	+1.27385477E+00 	 16.321228 
+3.51794326E-04 	 -3.47662762E-04 	-1.41798140E-07 	 -2.23750377E-07 	+1.26990262E+00 	 16.537958 
+3.52273436E-04 	 -3.48136669E-04 	-9.05146932E-08 	 -2.70608711E-07 	+1.26591155E+00 	 16.758279 
+3.52683963E-04 	 -3.48629651E-04 	+9.71207188E-08 	 -5.56285226E-07 	+1.26188389E+00 	 16.982254 
+3.53092629E-04 	 -3.48963903E-04 	+3.75681969E-06 	 -4.30586761E-06 	+1.25782682E+00 	 17.209689 
+3.53391584E-04 	 -3.49318268E-04 	+4.24863062E-06 	 -4.73905388E-06 	+1.25373985E+00 	 17.440802 
+3.53622848E-04 	 -3.49516242E-04 	+4.65759312E-06 	 -5.12820520E-06 	+1.24962448E+00 	 17.675652 
+3.53747590E-04 	 -3.49718711E-04 	+5.03417252E-06 	 -5.55777573E-06 	+1.24548976E+00 	 17.913782 
+3.53880736E-04 	 -3.49754318E-04 	+5.28043200E-06 	 -5.88377409E-06 	+1.24133150E+00 	 18.155383 
+3.53807675E-04 	 -3.49806851E-04 	+5.53302529E-06 	 -6.16291303E-06 	+1.23715647E+00 	 18.399883 
+3.53763939E-04 	 -3.49769952E-04 	+5.80603407E-06 	 -6.30359078E-06 	+1.23296453E+00 	 18.646968 
+3.53644114E-04 	 -3.49637271E-04 	+6.01790266E-06 	 -6.46960578E-06 	+1.22875451E+00 	 18.896240 
+3.53475932E-04 	 -3.49484158E-04 	+6.20372899E-06 	 -6.60887460E-06 	+1.22452946E+00 	 19.146922 
+3.53273487E-04 	 -3.49228418E-04 	+6.35838407E-06 	 -6.75347357E-06 	+1.22028232E+00 	 19.398720 
+3.52978545E-04 	 -3.48951688E-04 	+6.52358388E-06 	 -6.82918027E-06 	+1.21601105E+00 	 19.650956 
+3.52728507E-04 	 -3.48668360E-04 	+6.74119371E-06 	 -6.85392465E-06 	+1.21171271E+00 	 19.902952 
+3.52324696E-04 	 -3.48254091E-04 	+6.88690042E-06 	 -6.97931852E-06 	+1.20737533E+00 	 20.154532 
+3.51986402E-04 	 -3.47831937E-04 	+6.98252557E-06 	 -7.01611918E-06 	+1.20299461E+00 	 20.405077 
